site_code|city|state|address|lat|long
ANC|Anchorage|AK|620 East 10th Avenue, Anchorage, AK 99501|61.212362|-149.8722992
EUG|Eugene|OR|211 East 7th Avenue, Suite 120, Eugene, OR 97401|44.0526794|-123.0893845
FDL|Ferndale|WA|5200 Industrial Pl, Ferndale, WA 98248|48.8297449|-122.5553748
MED|Medford|OR|3715 International Way, Medford, OR 97504|42.3732257|-122.8664145
POO|Portland|OR|4310 S Macadam Avenue, Suite 300, Portland, OR 97239|45.4930261|-122.6723242
RIC|Richland|WA|825 Jadwin Avenue Room G165 Richland, WA 99352|46.2781477|-119.2763319
SEA|Seattle|WA|12500 Tukwila International Blvd, Tukwila, WA 98168|47.4907997|-122.2914497
SPO|Spokane|WA|411 W Cataldo Avenue Spokane, WA 99201|47.66582|-117.4181833
TAC|Tacoma|WA|1623 East J Street, Suite 2, Tacoma, WA 98421|47.2498603|-122.4218964
WNT|Wenatchee|WA|3701 River Road Yakima, WA 98902|46.6183336|-120.5593593
YAK|Yakima|WA|3701 River Road Yakima, WA 98902|46.6183336|-120.5593593
