County,Round County N Imm
"Douglas County, Washington",7300
"Chelan County, Washington",11300
"Skagit County, Washington",12200
"Grant County, Washington",16200
"Kitsap County, Washington",18900
"Franklin County, Washington",21200
"Whatcom County, Washington",22600
"Benton County, Washington",23600
"Thurston County, Washington",25100
"Spokane County, Washington",29300
"Yakima County, Washington",47600
"Clark County, Washington",56200
"Pierce County, Washington",97300
"Snohomish County, Washington",154700
"King County, Washington",568300
"Klamath County, Oregon",3200
"Josephine County, Oregon",3300
"Hood River County, Oregon",3700
"Polk County, Oregon",5000
"Linn County, Oregon",5500
"Umatilla County, Oregon",8200
"Yamhill County, Oregon",8400
"Benton County, Oregon",9500
"Deschutes County, Oregon",10000
"Jackson County, Oregon",12600
"Lane County, Oregon",20500
"Clackamas County, Oregon",36400
"Marion County, Oregon",47100
"Multnomah County, Oregon",104800
"Washington County, Oregon",106300
